,titles,subtitles,links
0,KANE PAIN,England fears as Kane spotted limping with ankle strapped after knock vs Iran,https://www.thesun.co.uk/sport/20499785/england-harry-kane-iran-ankle-injury/
1,FROTH TO A FLIER,England fans throw victory party in Doha despite stadium beer ban,https://www.thesun.co.uk/sport/20503468/england-fans-football-without-beer/
2,BELL OF A PLAYER,Keane hails 'brilliant' Bellingham and compares him to four England icons,https://www.thesun.co.uk/sport/20503344/roy-keane-jude-bellingham-england-world-cup/
3,JACK OF HEARTS,Heartwarming moment Grealish keeps promise to young fan after goal vs Iran,https://www.thesun.co.uk/sport/20499071/grealish-celebration-disabled-fan-england-world-cup-iran/
4,ROARING START,Play Dream Team World Cup today - get involved after England's thumping win!,https://www.thesun.co.uk/sport/football/dream-team/20492762/fantasy-football-world-cup-england-iran-wales-usa/
5,NECO'S TRIBUTE,Williams breaks down in tears on TV and reveals grandad died before USA draw,https://www.thesun.co.uk/sport/20503517/neco-williams-wales-tears-grandad-death-usa-world-cup/
6,WALES RATINGS,Bale the hero once again and Moore makes the difference from the bench,https://www.thesun.co.uk/sport/20503258/wales-player-ratings-bale-moore/
7,ENGLAND RATINGS,"Bellingham runs show as Saka stars alongside Mount, Kane and Co in opener",https://www.thesun.co.uk/sport/20497311/england-ratings-iran-world-cup-saka-bellingham/
8,DOUBLE TROUBLE,World Cup betting offer: Bet £10 and DOUBLE your odds with Grosvenor Sport,https://www.thesun.co.uk/sport/20470890/world-cup-offer-double-your-odds-grosvenor/
9,BUMPER,World Cup - Day 3 preview: Argentina and France tips and prediction plus free bets,https://www.thesun.co.uk/sport/20469668/world-cup-preview-free-bets-best-bonus-offers/
10,FINALS FAREWELL,Messi kicks off last bid to win World Cup as Argentina take on Saudi Arabia,https://www.thesun.co.uk/sport/20473937/argentina-saudi-arabia-world-cup/
11,ONWARD CHRISTIAN'S SOLDIERS,Eriksen back on big stage as Danish dark horses take on Tunisia,https://www.thesun.co.uk/sport/20473103/denmark-tunisia-world-cup-prediction-eriksen/
12,POL POSITION,Mexico take on Poland in key clash that could be decisive in Group C,https://www.thesun.co.uk/sport/20475952/mexico-poland-world-cup-lewandowski-jimenez/
13,CUP HALF FULL,Depleted France kick off defence of trophy looking to avoid upset vs Aussies,https://www.thesun.co.uk/sport/20487672/france-vs-australia-world-cup-team-news-prediction/
14,HORROR DRAW,Ronaldo can't stop laughing at his terrible drawing of Portugal pal Pepe,https://www.thesun.co.uk/sport/20503008/cristiano-ronaldo-man-utd-portugal-pepe-laughing-video/
15,TOP OFFER,World Cup sign-up offer: Bet £19 Get £66 in FREE BETS to use today with Bet UK,https://www.thesun.co.uk/sport/20468877/world-cup-sign-up-offer-free-bets-bet-uk/
16,QAT OUT,BBC pundit Kompany misses start of World Cup coverage 'because of visa blunder',https://www.thesun.co.uk/sport/20504140/bbc-kompany-world-cup-visa/
17,IRAN SCARE,Iran's Beiranvand rushed to hospital after concussion in England World Cup loss,https://www.thesun.co.uk/sport/20501127/iran-beiranvand-hospital-serious-concussion-england-world-cup-defeat/
18,SENEGAL 0 HOLLAND 2,Man Utd target Gakpo heads late goal as Dutch win World Cup opener,https://www.thesun.co.uk/sport/20500935/senegal-holland-report-man-utd-cody-gakpo-world-cup/
19,THE NEY WAY,Neymar slammed for 'arrogant' change to his Brazil kit - but can you spot it?,https://www.thesun.co.uk/sport/20502913/neymar-brazil-world-cup-kit-richarlison/
20,NOP QUALITY,Holland keeper Noppert almost became a policeman but is now at the World Cup,https://www.thesun.co.uk/sport/20502293/holland-keeper-andries-noppert-police-world-cup/
21,TRAGIC DEATH,ITV Technical Director behind World Cup coverage Roger Pearce dies in Qatar,https://www.thesun.co.uk/sport/20501799/roger-pearce-dead-itv-technical-director-world-cup/
22,STOP THE COUNT,"Senegal vs Holland attendance 1,700 MORE than capacity... with empty seats",https://www.thesun.co.uk/sport/20501515/senegal-holland-attendance-capacity-empty-seats-world-cup/
23,FLASHY,Win a Lamborghini Urus + £5k or £175k alternative from 89p with our discount,https://www.thesun.co.uk/sport/betting-tips/18918779/win-lambo-urus-7days/
24,HEY JUDE,Incredible Bellingham stats show how good England star was in World Cup opener,https://www.thesun.co.uk/sport/20499391/bellingham-stats-england-world-cup-iran/
25,NOT KEANE,Keane leaves pundits laughing with brutal assessment of Iran after England defeat,https://www.thesun.co.uk/sport/20502501/man-utd-roy-keane-england-iran-brutal-assessment-video/
26,SOUTH BARK,Southgate 'miserable' despite Iran rout and says England 'must be better' vs USA,https://www.thesun.co.uk/sport/20500682/southgate-miserable-england-world-cup-must-improve-usa/
27,HARRY HELP,Harry Maguire reveals why he was subbed off during England's epic win over Iran,https://www.thesun.co.uk/sport/20500795/harry-maguire-injury-sub-england-iran-reason-revealed/
28,SWELL I NEVER,Messi seems to have swollen ankle as star says he will enjoy final World Cup,https://www.thesun.co.uk/sport/20501056/messi-ankle-argentina-world-cup/
29,UP FOR GRABS,"Play our World Cup score predictor for a chance to win £5,000",https://www.thesun.co.uk/sport/football/20421373/world-cup-score-predictor-qatar/
30,DRAGONS' DEN,Wales fans jump with joy after World Cup goal in 64 YEARS in 1-1 USA draw,https://www.thesun.co.uk/sport/20503444/world-cup-wales-fans-usa-qatar/
31,WHAT IS QAT ABOUT?,US reporter 'detained and refused entry into World Cup stadium' in Qatar,https://www.thesun.co.uk/sport/20502559/us-reporter-detained-banned-qatar-world-cup/
32,LION IN WAIT,England captain Harry Kane reveals major disappointment after Iran thrashing,https://www.thesun.co.uk/sport/20501512/harry-kane-england-armband-iran-world-cup/
33,BELL OF A GUY,Jude was England's missing A-lister… no wonder Liverpool and Madrid love him,https://www.thesun.co.uk/sport/20502548/jude-bellingham-england-iran/
